Date,infl_r,infl_u,infl_ru,ind_r,ind_u,ind_ru
2020-04-01,0.0,0.0,0.0,149.8,147.3,148.6
2020-05-01,0.0,0.0,0.0,149.8,147.3,148.6
2020-06-01,1.9359145527369674,2.3761031907671417,2.153432032301492,152.7,150.8,151.8
2020-07-01,0.0,0.0,0.0,152.7,150.8,151.8
2020-08-01,1.3097576948264573,1.3925729442970782,1.3833992094861622,154.7,152.9,153.9
2020-09-01,0.4524886877828165,0.7194244604316509,0.5198180636777017,155.4,154.0,154.7
2020-10-01,1.3513513513513475,0.7792207792207718,1.09890109890111,157.5,155.2,156.4
2020-11-01,1.4603174603174676,0.9664948453608248,1.278772378516624,159.8,156.7,158.4
2020-12-01,0.5632040050062436,0.12763241863434402,0.31565656565656564,160.7,156.9,158.9
2021-01-01,-1.3690105787181013,-0.5736137667304051,-1.0069225928256729,158.5,156.0,157.3
2021-02-01,-1.135646687697168,0.3205128205128205,-0.4450095359186376,156.7,156.5,156.6
2021-03-01,0.0,0.2555910543131027,0.12771392081737998,156.7,156.9,156.8
2021-04-01,0.5743458838545027,0.7010834926704871,0.6377551020408162,157.6,158.0,157.8
2021-05-01,2.220812182741117,0.949367088607595,1.6476552598225565,161.1,159.5,160.4
2021-06-01,0.6207324643078833,0.5642633228840161,0.5610972568578589,162.1,160.4,161.3
2021-07-01,0.6785934608266467,0.872817955112223,0.7439553626782323,163.2,161.8,162.5
2021-08-01,0.2450980392156898,0.30902348578491967,0.4307692307692238,163.6,162.3,163.2
2021-09-01,0.24449877750611593,0.0,0.0,164.0,162.3,163.2
2021-10-01,1.402439024390251,1.4171287738755285,1.4093137254902033,166.3,164.6,165.5
2021-11-01,0.7817197835237419,0.6075334143377886,0.7250755287008995,167.6,165.6,166.7
2021-12-01,-0.35799522673030687,-0.24154589371981022,-0.2999400119976005,167.0,165.2,166.2
2022-01-01,-0.3592814371257451,-0.12106537530265657,-0.3008423586040915,166.4,165.0,165.7
2022-02-01,0.1802884615384513,0.30303030303030304,0.24140012070006378,166.7,165.5,166.1
2022-03-01,1.199760047990402,0.6042296072507553,0.9632751354605624,168.7,166.5,167.7
2022-04-01,1.2448132780083123,1.6216216216216148,1.4311270125223647,170.8,169.2,170.1
2022-05-01,0.9953161592505788,0.9456264775413846,0.9406231628453818,172.5,170.8,171.7
2022-06-01,0.6376811594202866,0.35128805620608566,0.5241700640652335,173.6,171.4,172.6
2022-07-01,0.40322580645162276,0.5250875145857676,0.4634994206257308,174.3,172.3,173.4
2022-08-01,0.5737234652897303,0.46430644225187634,0.5190311418685154,175.3,173.1,174.3
2022-09-01,0.6274957216200766,0.5777007510109763,0.5737234652897303,176.4,174.1,175.3
2022-10-01,0.8503401360544217,0.6892590465249955,0.7986309184255431,177.9,175.3,176.7
2022-11-01,-0.05621135469364492,-0.684540787221915,-0.11318619128465683,177.8,174.1,176.5
2022-12-01,-0.3937007874015843,0.0,-0.4532577903682784,177.1,174.1,175.7
2023-01-01,0.39525691699605703,0.4595060310166636,0.455321570859426,177.8,174.9,176.5
2023-02-01,0.11248593925758639,0.8004574042309923,0.39660056657223147,178.0,176.3,177.2
2023-03-01,0.0,0.0,0.0,178.0,176.3,177.2
